sku_id,warehouse_id,sku_name,region,address,SKU销量分级,SKU健康度,SKU补货优先级,Pur_adv_qty,avl_qty,stock_avl_days,sku_avg_sales,avl_qty,on_way_qty,turnover_days,stock_age_days
1021,2,金龙鱼食用油5L*4桶,华南,广州市黄埔区,1畅销品,1紧急补货预警,1最高优先级,13703.89,277,1.53,181.57,277,0,2,23
1042,3,郁美净儿童霜25g*12盒,华北,天津市武清区,1畅销品,1紧急补货预警,1最高优先级,9845.00,529,3.31,159.60,529,0,3,41
1003,3,可口可乐330ml*24罐,华北,天津市武清区,1畅销品,1紧急补货预警,1最高优先级,8427.97,376,2.46,152.77,376,515,3,162
1004,2,百事可乐330ml*24罐,华南,广州市黄埔区,1畅销品,1紧急补货预警,1最高优先级,6854.22,256,1.66,154.57,256,0,2,84
1036,1,洁柔卷纸4层*27卷,华东,上海市嘉定区,1畅销品,1紧急补货预警,1最高优先级,6948.63,234,1.27,184.17,234,0,1,22
1023,1,心相印抽纸3层*24包,华东,上海市嘉定区,1畅销品,1紧急补货预警,1最高优先级,13473.00,430,2.41,178.37,430,0,2,168
1022,1,福临门大米5kg*10袋,华东,上海市嘉定区,1畅销品,1紧急补货预警,1最高优先级,5420.00,425,2.54,167.00,425,0,2,158
1050,2,西王玉米油5L*4桶,华南,广州市黄埔区,2正常品,1紧急补货预警,1最高优先级,6254.49,368,2.93,125.57,368,535,2,37
1025,3,雕牌洗洁精1.5kg*6瓶,华北,天津市武清区,2正常品,1紧急补货预警,1最高优先级,1063.00,44,1.82,24.20,44,466,2,168
1012,3,潘婷洗发水750ml,华北,天津市武清区,2正常品,1紧急补货预警,1最高优先级,5258.15,311,2.79,111.33,311,554,3,83
1046,1,太太乐鸡精200g*20袋,华东,上海市嘉定区,2正常品,1紧急补货预警,1最高优先级,3404.20,157,2.56,61.40,157,0,2,40
1042,2,郁美净儿童霜25g*12盒,华南,广州市黄埔区,2正常品,1紧急补货预警,1最高优先级,7494.97,496,3.62,136.83,496,82,3,96
1042,1,郁美净儿童霜25g*12盒,华东,上海市嘉定区,2正常品,1紧急补货预警,1最高优先级,2543.86,47,1.05,44.67,47,0,1,34
1040,1,六神花露水195ml*12瓶,华东,上海市嘉定区,2正常品,1紧急补货预警,1最高优先级,4825.36,191,2.59,73.77,191,0,3,42
1037,1,威猛先生洁厕液500ml*12瓶,华东,上海市嘉定区,2正常品,1紧急补货预警,1最高优先级,1906.25,34,1.21,28.03,34,162,1,37
1034,1,盼盼小面包400g*10袋,华东,上海市嘉定区,2正常品,1紧急补货预警,1最高优先级,2923.21,304,3.69,82.43,304,647,3,127
1031,2,达利园软面包360g*12袋,华南,广州市黄埔区,2正常品,1紧急补货预警,1最高优先级,4182.10,338,4.26,79.30,338,0,4,170
1011,3,海飞丝去屑洗发水750ml,华北,天津市武清区,2正常品,1紧急补货预警,1最高优先级,1471.20,18,0.88,20.40,18,0,1,76
1029,3,云南白药牙膏180g*6支,华北,天津市武清区,2正常品,1紧急补货预警,1最高优先级,1411.85,115,3.39,33.93,115,0,3,37
1015,3,立白洗洁精1.5kg*6瓶,华北,天津市武清区,2正常品,1紧急补货预警,1最高优先级,1512.91,171,4.21,40.57,171,872,4,67
1027,3,奥妙洗衣液2kg*6瓶,华北,天津市武清区,2正常品,1紧急补货预警,1最高优先级,2110.90,196,5.01,39.10,196,0,5,176
1025,2,雕牌洗洁精1.5kg*6瓶,华南,广州市黄埔区,2正常品,1紧急补货预警,1最高优先级,1260.00,158,4.91,32.20,158,0,5,171
1017,1,脉动维生素饮料600ml*15瓶,华东,上海市嘉定区,2正常品,1紧急补货预警,1最高优先级,4088.10,160,2.20,72.70,160,332,2,166
1018,2,元气森林气泡水480ml*15瓶,华南,广州市黄埔区,2正常品,1紧急补货预警,1最高优先级,4128.32,367,2.94,124.87,367,0,3,3
1009,2,奥利奥饼干116g*24盒,华南,广州市黄埔区,2正常品,1紧急补货预警,1最高优先级,4983.85,359,3.02,118.73,359,0,3,19
1030,2,百雀羚面霜50g*12瓶,华南,广州市黄埔区,1畅销品,2缺货预警,2第2优先级,6970.23,3670,21.04,174.43,3670,0,19,16
