category_id,category_name,category_code,parent_id,category_level,full_path_name,full_path_id,sort_no,start_date,end_date,is_valid
101,饮料,100,0,1,饮料,0,1,2024-01-01,9999-12-31,1
102,食品,200,0,1,食品,0,1,2024-01-01,9999-12-31,1
103,日化,300,0,1,日化,0,1,2024-01-01,9999-12-31,1
10101,饮用水,110,101,2,"饮料 / 饮用水","0,101",1,2024-01-01,9999-12-31,1
10102,碳酸饮料,120,101,2,"饮料 / 碳酸饮料","0,101",1,2024-01-01,9999-12-31,1
10201,饼干,210,102,2,"食品 / 饼干","0,102",1,2024-01-01,9999-12-31,1
10202,方便面,220,102,2,"食品 / 方便面","0,102",1,2024-01-01,9999-12-31,1
10301,洗发水,310,103,2,"日化 / 洗发水","0,103",1,2024-01-01,9999-12-31,1
10302,洗衣液,320,103,2,"日化 / 洗衣液","0,103",1,2024-01-01,9999-12-31,1
1010101,瓶装矿泉水,111,10101,3,"饮料 / 饮用水 / 瓶装矿泉水","0,101,10101",1,2024-01-01,9999-12-31,1
1010102,桶装水,112,10101,3,"饮料 / 饮用水 / 桶装水","0,101,10101",1,2024-01-01,9999-12-31,1
1010201,可乐,121,10102,3,"饮料 / 碳酸饮料 / 可乐","0,101,10102",1,2024-01-01,9999-12-31,1
1020101,苏打饼干,211,10201,3,"食品 / 饼干 / 苏打饼干","0,102,10201",1,2024-01-01,9999-12-31,1
1020201,红烧牛肉面,221,10202,3,"食品 / 方便面 / 红烧牛肉面","0,102,10202",1,2024-01-01,9999-12-31,1
1030101,去屑洗发水,311,10301,3,"日化 / 洗发水 / 去屑洗发水","0,103,10301",1,2024-01-01,9999-12-31,1
1030201,洗衣液3kg,321,10302,3,"日化 / 洗衣液 / 洗衣液3kg","0,103,10302",1,2024-01-01,9999-12-31,1
