sku_id,warehouse_id,lead_time_days,review_cycle_days,safety_stock_qty,target_days_of_supply,min_order_qty,max_order_qty,max_stock_qty,rounding_qty,target_stock_qty,lead_time_buffer_days,service_level,demand_days,avg_daily_sales_qty,replenishment_model,reorder_point_qty,forecast_version,health_days_low,health_days_high,is_active,effective_start_date,effective_end_date,etl_time
1001,1,12,7,1026,45,71,999,9574,12,7695,1,0.9803,30,171.0000,MIN-MAX,3078,v1,7.00,45.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1001,2,6,7,826,44,26,1641,6618,12,5192,1,0.9411,30,118.0000,ROP,1534,v1,7.00,44.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1001,3,11,30,1260,40,76,1754,10400,12,7200,5,0.9384,30,180.0000,PERIODIC,3240,v1,7.00,40.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1002,1,5,30,744,44,53,1006,7921,12,5456,3,0.9689,30,124.0000,PERIODIC,1364,v1,7.00,44.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1002,2,13,7,670,44,29,1961,7580,12,5896,3,0.9302,30,134.0000,PERIODIC,2412,v1,7.00,44.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1002,3,5,7,120,42,39,1946,1592,12,1260,4,0.9367,30,30.0000,PERIODIC,270,v1,7.00,42.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1003,1,9,7,516,56,73,1297,10629,12,7224,5,0.9851,30,129.0000,MIN-MAX,1677,v1,7.00,56.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1003,2,9,14,471,60,65,1111,13433,12,9420,4,0.9484,30,157.0000,PERIODIC,1884,v1,7.00,60.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1003,3,15,30,596,45,48,1058,8922,12,6705,1,0.9350,30,149.0000,PERIODIC,2831,v1,7.00,45.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
1004,1,15,14,732,56,79,761,15312,12,10248,5,0.9024,30,183.0000,ROP,3477,v1,7.00,56.00,1,2026-01-01,9999-12-31,"2026-09-04 12:34:54"
