snapshot_id,snapshot_time,sku_id,warehouse_id,on_hand_qty,locked_qty,available_qty,in_transit_qty,reserved_qty,damaged_qty,frozen_qty,data_source,etl_time,dt
1,"2026-09-04 08:00:00",1001,1,7158,905,6253,28,6,0,7,wms,"2026-09-04 12:34:54",2026-09-04
2,"2026-09-04 08:00:00",1001,2,9153,765,8388,52,13,4,9,wms,"2026-09-04 12:34:54",2026-09-04
3,"2026-09-04 08:00:00",1001,3,4562,501,4061,15,4,4,3,manual,"2026-09-04 12:34:54",2026-09-04
4,"2026-09-04 08:00:00",1002,1,10874,1132,9742,134,12,2,2,wms,"2026-09-04 12:34:54",2026-09-04
5,"2026-09-04 08:00:00",1002,2,7445,578,6867,90,20,5,4,manual,"2026-09-04 12:34:54",2026-09-04
6,"2026-09-04 08:00:00",1002,3,2359,300,2059,71,17,2,3,wms,"2026-09-04 12:34:54",2026-09-04
7,"2026-09-04 08:00:00",1003,1,1979,212,1767,176,15,2,7,wms,"2026-09-04 12:34:54",2026-09-04
8,"2026-09-04 08:00:00",1003,2,2724,341,2383,184,8,2,1,manual,"2026-09-04 12:34:54",2026-09-04
9,"2026-09-04 08:00:00",1003,3,413,33,380,101,11,1,4,oms,"2026-09-04 12:34:54",2026-09-04
10,"2026-09-04 08:00:00",1004,1,20862,2258,18604,88,14,5,4,manual,"2026-09-04 12:34:54",2026-09-04
11,"2026-09-04 08:00:00",1004,2,278,18,260,137,8,4,4,oms,"2026-09-04 12:34:54",2026-09-04
12,"2026-09-04 08:00:00",1004,3,3527,389,3138,61,7,0,10,manual,"2026-09-04 12:34:54",2026-09-04
13,"2026-09-04 08:00:00",1005,1,1714,117,1597,25,13,2,7,oms,"2026-09-04 12:34:54",2026-09-04
14,"2026-09-04 08:00:00",1005,2,2574,154,2420,140,5,3,10,wms,"2026-09-04 12:34:54",2026-09-04
15,"2026-09-04 08:00:00",1005,3,9818,641,9177,73,10,2,10,oms,"2026-09-04 12:34:54",2026-09-04
16,"2026-09-04 08:00:00",1006,1,2351,130,2221,146,7,4,0,oms,"2026-09-04 12:34:54",2026-09-04
17,"2026-09-04 08:00:00",1006,2,2084,245,1839,9,12,3,2,manual,"2026-09-04 12:34:54",2026-09-04
18,"2026-09-04 08:00:00",1006,3,10321,1288,9033,9,0,2,9,manual,"2026-09-04 12:34:54",2026-09-04
19,"2026-09-04 08:00:00",1007,1,6038,779,5259,72,14,5,8,manual,"2026-09-04 12:34:54",2026-09-04
20,"2026-09-04 08:00:00",1007,2,4578,575,4003,129,14,2,3,oms,"2026-09-04 12:34:54",2026-09-04
21,"2026-09-04 08:00:00",1007,3,1668,182,1486,165,8,5,2,oms,"2026-09-04 12:34:54",2026-09-04
22,"2026-09-04 08:00:00",1008,1,3806,435,3371,145,6,1,9,manual,"2026-09-04 12:34:54",2026-09-04
23,"2026-09-04 08:00:00",1008,2,10622,1244,9378,131,10,0,6,manual,"2026-09-04 12:34:54",2026-09-04
24,"2026-09-04 08:00:00",1008,3,2625,338,2287,122,10,1,0,wms,"2026-09-04 12:34:54",2026-09-04
25,"2026-09-04 08:00:00",1009,1,3443,297,3146,68,10,2,9,manual,"2026-09-04 12:34:54",2026-09-04
26,"2026-09-04 08:00:00",1009,2,397,28,369,92,7,0,10,oms,"2026-09-04 12:34:54",2026-09-04
27,"2026-09-04 08:00:00",1009,3,723,44,679,175,16,5,4,manual,"2026-09-04 12:34:54",2026-09-04
28,"2026-09-04 08:00:00",1010,1,931,115,816,75,11,4,3,oms,"2026-09-04 12:34:54",2026-09-04
29,"2026-09-04 08:00:00",1010,2,804,71,733,116,19,2,6,manual,"2026-09-04 12:34:54",2026-09-04
30,"2026-09-04 08:00:00",1010,3,1440,127,1313,137,6,1,10,manual,"2026-09-04 12:34:54",2026-09-04
31,"2026-09-04 08:00:00",1011,1,708,38,670,114,16,5,5,oms,"2026-09-04 12:34:54",2026-09-04
32,"2026-09-04 08:00:00",1011,2,1848,106,1742,140,16,1,9,manual,"2026-09-04 12:34:54",2026-09-04
33,"2026-09-04 08:00:00",1011,3,30,2,28,133,14,0,10,oms,"2026-09-04 12:34:54",2026-09-04
34,"2026-09-04 08:00:00",1012,1,13634,1226,12408,130,14,0,7,oms,"2026-09-04 12:34:54",2026-09-04
35,"2026-09-04 08:00:00",1012,2,3339,291,3048,14,17,3,10,wms,"2026-09-04 12:34:54",2026-09-04
36,"2026-09-04 08:00:00",1012,3,339,27,312,0,6,4,1,oms,"2026-09-04 12:34:54",2026-09-04
37,"2026-09-04 08:00:00",1013,1,3930,421,3509,138,1,0,7,oms,"2026-09-04 12:34:54",2026-09-04
38,"2026-09-04 08:00:00",1013,2,13362,850,12512,34,20,5,10,wms,"2026-09-04 12:34:54",2026-09-04
39,"2026-09-04 08:00:00",1013,3,1736,212,1524,114,12,3,1,manual,"2026-09-04 12:34:54",2026-09-04
40,"2026-09-04 08:00:00",1014,1,19427,2347,17080,34,20,2,1,oms,"2026-09-04 12:34:54",2026-09-04
41,"2026-09-04 08:00:00",1014,2,2649,217,2432,32,7,0,0,wms,"2026-09-04 12:34:54",2026-09-04
42,"2026-09-04 08:00:00",1014,3,1967,213,1754,108,17,3,3,oms,"2026-09-04 12:34:54",2026-09-04
43,"2026-09-04 08:00:00",1015,1,8546,525,8021,48,3,0,10,wms,"2026-09-04 12:34:54",2026-09-04
44,"2026-09-04 08:00:00",1015,2,14697,1845,12852,4,7,1,1,oms,"2026-09-04 12:34:54",2026-09-04
45,"2026-09-04 08:00:00",1015,3,187,16,171,172,1,1,0,wms,"2026-09-04 12:34:54",2026-09-04
46,"2026-09-04 08:00:00",1016,1,431,40,391,193,1,1,8,wms,"2026-09-04 12:34:54",2026-09-04
47,"2026-09-04 08:00:00",1016,2,13600,1687,11913,147,10,4,9,manual,"2026-09-04 12:34:54",2026-09-04
48,"2026-09-04 08:00:00",1016,3,11245,771,10474,36,16,1,6,wms,"2026-09-04 12:34:54",2026-09-04
49,"2026-09-04 08:00:00",1017,1,187,17,170,151,5,5,10,wms,"2026-09-04 12:34:54",2026-09-04
50,"2026-09-04 08:00:00",1017,2,12877,667,12210,88,20,5,6,manual,"2026-09-04 12:34:54",2026-09-04
51,"2026-09-04 08:00:00",1017,3,4096,343,3753,38,9,3,2,manual,"2026-09-04 12:34:54",2026-09-04
52,"2026-09-04 08:00:00",1018,1,5456,648,4808,76,4,3,0,manual,"2026-09-04 12:34:54",2026-09-04
53,"2026-09-04 08:00:00",1018,2,403,33,370,135,4,3,3,wms,"2026-09-04 12:34:54",2026-09-04
54,"2026-09-04 08:00:00",1018,3,2113,217,1896,115,11,0,8,manual,"2026-09-04 12:34:54",2026-09-04
55,"2026-09-04 08:00:00",1019,1,6292,328,5964,96,19,4,0,oms,"2026-09-04 12:34:54",2026-09-04
56,"2026-09-04 08:00:00",1019,2,2477,277,2200,185,17,1,7,oms,"2026-09-04 12:34:54",2026-09-04
57,"2026-09-04 08:00:00",1019,3,3593,276,3317,3,6,1,1,manual,"2026-09-04 12:34:54",2026-09-04
58,"2026-09-04 08:00:00",1020,1,9839,877,8962,62,19,5,3,wms,"2026-09-04 12:34:54",2026-09-04
59,"2026-09-04 08:00:00",1020,2,329,31,298,198,9,3,7,manual,"2026-09-04 12:34:54",2026-09-04
60,"2026-09-04 08:00:00",1020,3,3272,244,3028,92,16,3,7,oms,"2026-09-04 12:34:54",2026-09-04
61,"2026-09-04 08:00:00",1021,1,2412,262,2150,194,10,1,5,wms,"2026-09-04 12:34:54",2026-09-04
62,"2026-09-04 08:00:00",1021,2,310,29,281,56,4,0,4,manual,"2026-09-04 12:34:54",2026-09-04
63,"2026-09-04 08:00:00",1021,3,10729,1045,9684,106,9,1,3,wms,"2026-09-04 12:34:54",2026-09-04
64,"2026-09-04 08:00:00",1022,1,481,46,435,62,15,4,10,manual,"2026-09-04 12:34:54",2026-09-04
65,"2026-09-04 08:00:00",1022,2,1516,170,1346,125,20,5,7,wms,"2026-09-04 12:34:54",2026-09-04
66,"2026-09-04 08:00:00",1022,3,2804,321,2483,43,4,5,8,wms,"2026-09-04 12:34:54",2026-09-04
67,"2026-09-04 08:00:00",1023,1,489,59,430,164,1,4,0,oms,"2026-09-04 12:34:54",2026-09-04
68,"2026-09-04 08:00:00",1023,2,176,18,158,195,0,3,2,manual,"2026-09-04 12:34:54",2026-09-04
69,"2026-09-04 08:00:00",1023,3,338,36,302,2,6,4,7,wms,"2026-09-04 12:34:54",2026-09-04
70,"2026-09-04 08:00:00",1024,1,2860,292,2568,157,15,5,7,oms,"2026-09-04 12:34:54",2026-09-04
71,"2026-09-04 08:00:00",1024,2,3761,357,3404,3,0,4,4,manual,"2026-09-04 12:34:54",2026-09-04
72,"2026-09-04 08:00:00",1024,3,4631,227,4404,178,13,1,1,oms,"2026-09-04 12:34:54",2026-09-04
73,"2026-09-04 08:00:00",1025,1,307,21,286,158,16,2,5,wms,"2026-09-04 12:34:54",2026-09-04
74,"2026-09-04 08:00:00",1025,2,170,9,161,103,14,4,3,manual,"2026-09-04 12:34:54",2026-09-04
75,"2026-09-04 08:00:00",1025,3,49,5,44,20,20,5,0,oms,"2026-09-04 12:34:54",2026-09-04
76,"2026-09-04 08:00:00",1026,1,116,9,107,121,1,5,0,manual,"2026-09-04 12:34:54",2026-09-04
77,"2026-09-04 08:00:00",1026,2,1077,97,980,111,20,2,9,oms,"2026-09-04 12:34:54",2026-09-04
78,"2026-09-04 08:00:00",1026,3,575,71,504,58,6,5,9,wms,"2026-09-04 12:34:54",2026-09-04
79,"2026-09-04 08:00:00",1027,1,15713,1958,13755,175,8,4,9,manual,"2026-09-04 12:34:54",2026-09-04
80,"2026-09-04 08:00:00",1027,2,2712,339,2373,80,0,1,9,oms,"2026-09-04 12:34:54",2026-09-04
81,"2026-09-04 08:00:00",1027,3,222,24,198,101,2,2,2,manual,"2026-09-04 12:34:54",2026-09-04
