dt,sku_id,warehouse_id,begin_on_hand_qty,begin_locked_qty,begin_available_qty,end_on_hand_qty,end_locked_qty,end_available_qty,defect_qty,in_transit_qty,max_onhand_qty,min_onhand_qty,avg_on_hand_qty,avg_available_qty,inventory_cost_amt,turnover_days,stock_age_days,etl_time
2026-07-01,1001,1,8329,881,7448,8329,881,7448,4,43,9138,8246,8329,7448,62378.2600,43,48,"2026-09-04 12:34:54"
2026-07-01,1001,2,8897,677,8220,8897,677,8220,3,34,9217,8652,8897,8220,724253.8900,69,99,"2026-09-04 12:34:54"
2026-07-01,1001,3,8092,659,7433,8092,659,7433,5,1,8514,7949,8092,7433,859429.0600,41,148,"2026-09-04 12:34:54"
2026-07-01,1002,1,10662,1257,9405,10662,1257,9405,0,28,11133,10196,10662,9405,1799682.8800,75,24,"2026-09-04 12:34:54"
2026-07-01,1002,2,6006,352,5654,6006,352,5654,3,10,6045,5698,6006,5654,445120.9800,42,122,"2026-09-04 12:34:54"
2026-07-01,1002,3,2330,250,2080,2330,250,2080,5,3,2330,2111,2330,2080,298216.9300,69,57,"2026-09-04 12:34:54"
2026-07-01,1003,1,3282,186,3096,3282,186,3096,5,1,3544,3214,3282,3096,424445.2200,24,9,"2026-09-04 12:34:54"
2026-07-01,1003,2,10919,1192,9727,10919,1192,9727,2,49,11520,9872,10919,9727,1811202.1500,61,78,"2026-09-04 12:34:54"
2026-07-01,1003,3,5952,357,5595,5952,357,5595,3,39,6095,5559,5952,5595,656752.0300,37,164,"2026-09-04 12:34:54"
2026-07-01,1004,1,20675,1455,19220,20675,1455,19220,1,3,22410,20135,20675,19220,1868830.5700,105,44,"2026-09-04 12:34:54"
2026-07-01,1004,2,5996,423,5573,5996,423,5573,1,23,6169,5666,5996,5573,85025.8900,34,70,"2026-09-04 12:34:54"
2026-07-01,1004,3,4024,205,3819,4024,205,3819,4,35,4357,3646,4024,3819,499029.5200,41,68,"2026-09-04 12:34:54"
2026-07-01,1005,1,4057,217,3840,4057,217,3840,0,13,4182,3921,4057,3840,298814.2500,29,140,"2026-09-04 12:34:54"
2026-07-01,1005,2,2831,284,2547,2831,284,2547,2,3,2984,2679,2831,2547,508205.1000,41,40,"2026-09-04 12:34:54"
2026-07-01,1005,3,10712,1271,9441,10712,1271,9441,4,41,10827,10335,10712,9441,225218.2600,49,99,"2026-09-04 12:34:54"
2026-07-01,1006,1,8594,798,7796,8594,798,7796,0,36,9451,7840,8594,7796,1399033.3300,49,146,"2026-09-04 12:34:54"
2026-07-01,1006,2,4073,503,3570,4073,503,3570,4,21,4397,3683,4073,3570,413579.3600,21,49,"2026-09-04 12:34:54"
2026-07-01,1006,3,10258,1273,8985,10258,1273,8985,5,38,10836,9510,10258,8985,382907.2700,61,155,"2026-09-04 12:34:54"
2026-07-01,1007,1,6277,376,5901,6277,376,5901,1,48,6323,6060,6277,5901,1166071.4300,49,166,"2026-09-04 12:34:54"
2026-07-01,1007,2,8432,1090,7342,8432,1090,7342,1,16,9059,8109,8432,7342,1066143.2800,43,11,"2026-09-04 12:34:54"
2026-07-01,1007,3,4454,550,3904,4454,550,3904,0,36,4566,4127,4454,3904,359285.1900,48,128,"2026-09-04 12:34:54"
